paragraph,subparagraph,description,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,GBA,overall
1,6.7.b,"Straftaten nach den §§ 29a, 30 Abs. 1 Nr. 1, 2 und 4 sowie den §§ 30a und 30b Betäubungsmittelgesetz (§ 100a Abs. 2 Nr. 7b StPO)",779,1675,395,183,76,332,2035,177,507,608,234,46,211,252,410,197,0,8117
1,6.8,Straftaten nach dem Grundstoffüberwachungsgesetz (§ 100a Abs. 2 Nr. 8 StPO),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,6.9.a,"Straftaten nach § 19 Abs. 1 bis 3 und § 20 Abs. 1 und 2 sowie § 20a Abs. 1 bis 3 Kriegswaffenkontrollgesetz, jeweils auch in Verbindung mit § 21 Kriegswaffenkontrollgesetz (§ 100a Abs. 2 Nr. 9a StPO)",5,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,18
1,6.9.b,Straftaten nach § 22a Abs. 1 bis 3 Kriegswaffenkontrollgesetz (§ 100a Abs. 2 Nr. 9b StPO),6,15,9,1,1,6,51,5,0,6,9,0,0,11,10,0,0,130
1,6.9a,Neue psychoaktive Substanzen (§100a Abs. 2 Nr.9a StPO),0,0,0,0,0,0,0,0,6,0,5,0,1,0,0,0,0,12
1,6.10.a,Völkermord (§ 100a Abs. 2 Nr. 10a StPO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1,6.10.b,Verbrechen gegen die Menschlichkeit (§ 100a Abs. 2 Nr. 10b StPO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26
1,6.10.c,Kriegsverbrechen (§ 100a Abs. 2 Nr. 10c StPO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,53
1,6.10.d,Verbrechen der Aggression nach § 13 Völkerstrafgesetzbuch (§ 100a Abs. 2 Nr. 10 Buchstabe d StPO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6.11.a,Straftaten nach § 51 Abs. 1 bis 3 Waffengesetz (§ 100a Abs. 2 Nr. 11a StPO),0,9,21,0,0,2,4,2,0,6,0,0,2,2,0,0,0,48
1,6.11.b,Straftaten nach § 52 Abs. 1 Nr. 1 und 2 Buchstabe c und d sowie Abs. 5 und 6 Waffengesetz (§ 100a Abs. 2 Nr. 11b StPO),6,39,17,0,3,0,90,0,0,13,4,0,0,3,2,0,0,177
